股票代码,股票名称,回购数量,最高回购价,最低回购价,回购平均价,回购总额,日期
01022,飞鱼科技,45.00万,1.05,1.02,1.037,46.65万,2017-01-11
02268,优源控股,50.00万,1.95,1.91,1.931,96.55万,2017-01-11
00799,IGG,48.10万,5.7,5.63,5.669,272.68万,2017-01-11
00837,谭木匠,3.40万,4.01,3.98,3.984,13.54万,2017-01-11
00838,亿和控股,414.60万,0.88,0.84,0.861,356.91万,2017-01-11
02299,百宏实业,2.40万,5.64,5.34,5.387,12.93万,2017-01-11
00926,碧生源,500.00万,0.48,0.475,0.476,237.75万,2017-01-11
02355,宝业集团,351.20万,5.82,5.8,5.811,2040.98万,2017-01-10
02268,优源控股,100.00万,1.99,1.95,1.980,198.00万,2017-01-10
00777,网龙,2.35万,21.9,21.75,21.870,51.40万,2017-01-10
02005,石四药集团,465.40万,2.45,2.4,2.424,1127.90万,2017-01-10
01022,飞鱼科技,4.95万,1.05,1.04,1.050,5.20万,2017-01-10
00799,IGG,60.70万,5.7,5.6,5.672,344.28万,2017-01-10
00086,新鸿基公司,21.80万,4.9,4.88,4.898,106.77万,2017-01-10
02299,百宏实业,6.20万,5.4,5.31,5.377,33.34万,2017-01-10
00623,中视金桥,19.00万,1.81,1.79,1.805,34.30万,2017-01-10
00635,彩星集团,0.60万,10.3,10.3,10.300,6.18万,2017-01-10
02007,碧桂园,546.20万,4.3,4.26,4.279,2337.14万,2017-01-10
00869,彩星玩具,21.20万,1.4,1.39,1.400,29.68万,2017-01-10
00702,中国油气控股,205.50万,0.19,0.19,0.190,39.05万,2017-01-10
00926,碧生源,500.00万,0.5,0.47,0.481,240.70万,2017-01-10
00837,谭木匠,8.40万,4,3.89,3.924,32.96万,2017-01-10
00869,彩星玩具,60.80万,1.4,1.39,1.400,85.11万,2017-01-09
00702,中国油气控股,300.00万,0.19,0.19,0.190,57.00万,2017-01-09
00151,中国旺旺,160.80万,4.89,0,4.890,786.31万,2017-01-09
00213,NATIONAL ELEC H,37.00万,0.97,0.97,0.970,35.89万,2017-01-09
02355,宝业集团,279.00万,5.8,5.73,5.784,1613.80万,2017-01-09
02007,碧桂园,900.00万,4.25,4.19,4.225,3802.68万,2017-01-09
00777,网龙,8.95万,21.9,21.8,21.891,195.93万,2017-01-09
00289,WING ON CO,7.80万,24,23.9,23.991,187.13万,2017-01-09
00086,新鸿基公司,43.00万,4.9,4.87,4.894,210.44万,2017-01-09
00623,中视金桥,19.00万,1.82,1.8,1.808,34.36万,2017-01-09
01868,同方友友,20.00万,1.15,1.12,1.148,22.96万,2017-01-09
00799,IGG,50.00万,5.64,5.62,5.632,281.60万,2017-01-09
01022,飞鱼科技,19.80万,1.06,1.03,1.042,20.63万,2017-01-09
00460,四环医药,15.40万,2.19,2.19,2.190,33.73万,2017-01-09
02299,百宏实业,2.80万,5.55,5.4,5.485,15.36万,2017-01-09
01206,同方泰德,10.00万,2.9,2.88,2.888,28.88万,2017-01-09
02268,优源控股,100.00万,1.99,1.93,1.970,197.00万,2017-01-06
00777,网龙,9.75万,21.95,21.9,21.943,213.94万,2017-01-06
00151,中国旺旺,296.60万,5,4.95,4.979,1476.71万,2017-01-06
00702,中国油气控股,7.50万,0.19,0.19,0.190,1.43万,2017-01-06
00289,WING ON CO,2.50万,23.95,23.85,23.904,59.76万,2017-01-06
00869,彩星玩具,111.20万,1.4,1.38,1.392,154.82万,2017-01-06
02008,凤凰卫视,30.00万,1.31,0,1.310,39.30万,2017-01-06
02299,百宏实业,2.00万,5.39,5.34,5.345,10.69万,2017-01-06
01830,必瘦站,18.00万,0.62,0.62,0.620,11.16万,2017-01-06
00213,NATIONAL ELEC H,3.00万,0.97,0.97,0.970,2.91万,2017-01-06
02007,碧桂园,3376.80万,4.2,4.12,4.164,14061.33万,2017-01-06
00623,中视金桥,11.30万,1.82,1.8,1.814,20.50万,2017-01-06
