变动比例,变动人,代码,董监高人员姓名,持股种类,日期,变动股数,变动后持股数,成交均价,名称,变动人与董监高的关系,名称缩写,变动原因,变动金额,职务,市场代码
0.82827,宋伟民,002542,宋伟民,A股,2018-01-29,-15000000,134427495,7.23,中化岩土,本人,ZHYT,大宗交易,-108450000,董事,002542.SZ
0.04611,阮伟祥,600352,阮伟祥,A股,2018-01-29,1500000,346321538,12.33,浙江龙盛,本人,ZJLS,二级市场买卖,18495000,董事,600352.SH
0.04629,周良璋,603556,周良璋,A股,2018-01-29,176000,176000,35.9642,海兴电力,本人,HXDL,增持,6329699.2,董事长,603556.SH
0.00908,杨中春,300070,黄瑛,A股,2018-01-29,-285200,0,17.07,碧水源,配偶,BSY,竞价交易,-4868364,高管,300070.SZ
6E-05,厉国平,002056,厉国胜,A股,2018-01-29,1000,0,9.73,横店东磁,兄弟姐妹,HDDC,竞价交易,9730,监事,002056.SZ
0.00741,苏碧梧,300487,苏军昌,A股,2018-01-29,-15000,0,35.1,蓝晓科技,兄弟姐妹,LXKJ,竞价交易,-526500,监事,300487.SZ
0.00564,胡显源,001696,胡显源,A股,2018-01-29,64600,313375,6.19,宗申动力,本人,ZSDL,竞价交易,399874,董事,001696.SZ
0.00183,骆旭平,002718,骆旭平,A股,2018-01-29,1600,1600,46.1,友邦吊顶,本人,YBDD,竞价交易,73760,高管,002718.SZ
0.0741,王吴良,002718,王吴良,A股,2018-01-29,64938,64938,46.15,友邦吊顶,本人,YBDD,竞价交易,2996888.7,董事、高管,002718.SZ
0.03252,吴伟江,002718,吴伟江,A股,2018-01-29,28500,28500,46,友邦吊顶,本人,YBDD,竞价交易,1311000,董秘、董事、高管,002718.SZ
0.01232,姚慧青,002718,姚慧青,A股,2018-01-29,10800,10800,46.14,友邦吊顶,本人,YBDD,竞价交易,498312,高管,002718.SZ
0.02809,蒋思海,000656,蒋思海,A股,2018-01-29,1500000,38813980,5.18,金科股份,本人,JKGF,竞价交易,7770000,董事、高管,000656.SZ
0.00643,李建辉,002151,李建辉,A股,2018-01-29,-33000,24022006,33,北斗星通,本人,BDXT,竞价交易,-1089000,董事、高管,002151.SZ
0.08056,高兴江,002756,高兴江,A股,2018-01-29,290000,188470000,23.24,永兴特钢,本人,YXTG,竞价交易,6739600,董事、高管,002756.SZ
0.0076,吴海波,002281,吴海波,A股,2018-01-29,-47800,143450,25.98,光迅科技,本人,GXKJ,竞价交易,-1241844,董事,002281.SZ
0.00154,梁欣,002183,方向,A股,2018-01-29,-32600,0,7.68,怡亚通,兄弟姐妹,YYT,竞价交易,-250368,高管,002183.SZ
0.00847,马苏,002711,马苏,A股,2018-01-29,89400,89400,10.05,欧浦智网,本人,OPZW,竞价交易,898470,董事、高管,002711.SZ
0.0075,杨水余,601177,杨水余,A股,2018-01-29,30000,165000,8.35,杭齿前进,本人,HCQJ,二级市场买卖,250500,高级管理人员,601177.SH
0.005,欧阳建国,601177,欧阳建国,A股,2018-01-29,20000,282500,8.35,杭齿前进,本人,HCQJ,二级市场买卖,167000,高级管理人员,601177.SH
0.005,侯波,601177,侯波,A股,2018-01-29,20000,218000,8.35,杭齿前进,本人,HCQJ,二级市场买卖,167000,高级管理人员,601177.SH
0.0075,冯光,601177,冯光,A股,2018-01-29,30000,1342500,8.29,杭齿前进,本人,HCQJ,二级市场买卖,248700,董事,601177.SH
0.01278,张德强,002387,张德强,A股,2018-01-29,60000,155000,16.74,黑牛食品,本人,HNSP,竞价交易,1004400,董事、高管,002387.SZ
0.00025,刘伟超,300687,刘翔,A股,2018-01-29,200,0,45.87,赛意信息,父母,SYXX,竞价交易,9174,董事、高管,300687.SZ
0.5732,贾力强,300546,贾力强,A股,2018-01-29,-775000,7595000,19.19,雄帝科技,本人,XDKJ,大宗交易,-14872250,董事、高管,300546.SZ
0.41209,张曦,300096,厦门麟真贸易有限公司,A股,2018-01-29,1772000,0,11.79,易联众,受控法人,YLZ,竞价交易,20891880,董事,300096.SZ
0.00383,杨国峰,600710,杨国峰,A股,2018-01-29,50000,50000,6.37,苏美达,本人,SMD,二级市场买卖,318500,监事,600710.SH
0.01389,莫绮颜,002676,蔡晓鹏,A股,2018-01-29,-100000,0,7.01,顺威股份,子女,SWGF,竞价交易,-701000,董事、高管,002676.SZ
0.05966,莫绮颜,002676,莫少英,A股,2018-01-29,-429560,0,6.83,顺威股份,父母,SWGF,竞价交易,-2933894.8,董事、高管,002676.SZ
0.10179,倪张根,603313,倪张根,A股,2018-01-29,244300,150643704,26.6,梦百合,本人,MBH,二级市场买卖,6498380,董事,603313.SH
0.00488,王晓雯,000069,王晓雯,A股,2018-01-29,-400000,2385174,10.43,华侨城A,本人,HQCA,竞价交易,-4172000,董事、高管,000069.SZ
0.00842,孔祥金,601678,孔祥金,A股,2018-01-29,-100000,1391720,9.16,滨化股份,本人,BHGF,二级市场买卖,-916000,高级管理人员,601678.SH
0.01087,吕钢,002020,吕钢,A股,2018-01-26,80000,148374296,10.49,京新药业,本人,JXYY,竞价交易,839200,董事,002020.SZ
0.00907,李卫国,002271,李兴国,A股,2018-01-26,-80000,0,42.15,东方雨虹,兄弟姐妹,DFYH,竞价交易,-3372000,董事,002271.SZ
0.02785,杨波,002771,杨波,A股,2018-01-26,-45000,1715188,19.44,真视通,本人,ZST,竞价交易,-874800,监事,002771.SZ
0.01452,何志涛,002280,何志涛,A股,2018-01-26,316200,488615787,7.58,联络互动,本人,LLHD,竞价交易,2396796,董事、高管,002280.SZ
0.00139,朱秀全,300107,朱秀红,A股,2018-01-26,-7592,0,10.77,建新股份,兄弟姐妹,JXGF,竞价交易,-81765.84,董事、高管,300107.SZ
6E-05,厉国平,002056,厉国胜,A股,2018-01-26,1000,0,9.78,横店东磁,兄弟姐妹,HDDC,竞价交易,9780,监事,002056.SZ
0.01773,郭凡,300280,郭庆,A股,2018-01-26,-22700,0,34.73,南通锻压,父母,NTDY,竞价交易,-788371,董事、高管,300280.SZ
