证券代码,证券名称,公告日期,回购进度,币种,股份类型,数量,金额,比例,价格上限,价格下限,用途,最新价,PE,是否破净
002550,千红制药,2017-03-15,董事会预案,人民币,A股,600.00,4500.00,0.47,7.50,--,股权激励计划,6.03,41.97,否
300382,斯莱克,2017-03-10,实施中,人民币,A股,7.20,306.72,0.06,42.60,42.60,员工持股计划,12.88,29.08,否
300311,任子行,2017-03-04,实施中,人民币,A股,57.27,1005.32,0.13,17.70,17.44,员工持股计划,16.00,47.30,否
000725,京东方Ａ,2017-03-02,实施中,港元,B股,8326.13,20048.17,0.24,2.70,2.12,注销,4.65,18.74,否
000725,京东方Ａ,2017-03-02,实施中,人民币,A股,8869.23,22652.53,0.25,2.92,2.36,注销,4.65,18.74,否
300382,斯莱克,2017-02-08,董事会预案,人民币,A股,150.00,7500.00,1.20,50.00,--,员工持股计划,12.88,29.08,否
000725,京东方Ａ,2017-02-07,实施中,人民币,A股,8869.23,22652.53,0.25,2.92,2.36,注销,4.65,18.74,否
000725,京东方Ａ,2017-02-07,实施中,港元,B股,4845.94,11088.70,0.14,2.50,2.12,注销,4.65,18.74,否
002601,龙蟒佰利,2017-01-24,董事会预案,人民币,A股,10000.00,120000.00,4.92,20.00,--,员工持股计划,18.42,14.96,否
300311,任子行,2017-01-23,董事会预案,人民币,A股,434.78,10000.00,0.97,23.00,--,员工持股计划,16.00,47.30,否
300131,英唐智控,2017-01-20,董事会预案,人民币,A股,3875.97,40000.00,3.62,10.32,--,注销,6.89,51.53,否
300269,联建光电,2017-01-20,董事会预案,人民币,A股,960.00,24000.00,1.56,24.80,--,注销,11.21,17.00,否
002610,爱康科技,2017-01-17,股东大会决议,人民币,A股,1690.00,6000.00,0.38,3.55,--,股权激励计划,2.24,95.66,否
600090,同济堂,2017-01-10,董事会预案,人民币,A股,666.67,10000.00,0.46,15.00,--,员工持股计划,8.16,21.91,否
600896,览海投资,2017-01-05,实施中,人民币,A股,120.63,1499.89,0.14,12.52,12.26,注销,7.04,-32.99,否
000725,京东方Ａ,2017-01-04,实施中,港元,B股,4384.85,9951.99,0.12,2.32,2.12,注销,4.65,18.74,否
000725,京东方Ａ,2017-01-04,实施中,人民币,A股,8869.23,22652.53,0.25,2.92,2.36,注销,4.65,18.74,否
601038,一拖股份,2017-01-04,实施中,港元,B股,298.00,1297.91,0.74,4.40,4.28,注销,6.42,111.99,否
