变动比例,变动人,代码,董监高人员姓名,持股种类,日期,变动股数,变动后持股数,成交均价,名称,变动人与董监高的关系,名称缩写,变动原因,变动金额,职务,市场代码
0.00446,吴建明,002519,钱敏燕,A股,2017-01-04,30000,0,22.92,银河电子,配偶,YHDZ,竞价交易,687600,董事,002519.SZ
0.00048,谭立祥,300168,谭立祥,A股,2017-01-04,-5000,357100,20.4,万达信息,本人,WDXX,竞价交易,-102000,高管,300168.SZ
0.0058,温永忠,300410,温永忠,A股,2017-01-04,-10500,108250,52.51,正业科技,本人,ZYKJ,竞价交易,-551355,高管,300410.SZ
0.01328,刘才,002028,李晓玲,A股,2017-01-04,-100800,0,13.69,思源电气,配偶,SYDQ,竞价交易,-1379952,高管,002028.SZ
0.0028,郭金辉,002554,郭金辉,A股,2017-01-04,-30000,920000,8.6,惠博普,本人,HBP,竞价交易,-258000,高管,002554.SZ
0.01202,聂织锦,002711,聂织锦,A股,2017-01-04,-79336,1268006,15.19,欧浦智网,本人,OPZW,竞价交易,-1205113.84,董事、高管,002711.SZ
1.34322,王雅军,300013,苏州锦融投资有限公司,A股,2017-01-04,-4000000,0,12.77,新宁物流,受控法人,XNWL,大宗交易,-51080000,董事,300013.SZ
0.02627,胡伟,300310,胡勇,A股,2017-01-04,116600,0,25.74,宜通世纪,兄弟姐妹,YTSJ,竞价交易,3001284,董事,300310.SZ
0.00112,徐航芳,600070,徐航芳,A股,2017-01-04,4000,14000,14.34,浙江富润,本人,ZJFR,二级市场买卖,57360,监事,600070.SH
0.00126,赏冠军,600070,赏冠军,A股,2017-01-04,4500,8500,14.45,浙江富润,本人,ZJFR,二级市场买卖,65025,监事,600070.SH
0.05034,王巍,300154,王巍,A股,2017-01-04,-225000,675000,10.24,瑞凌股份,本人,RLGF,大宗交易,-2304000,董事、高管,300154.SZ
0.00736,于清波,002606,于清波,A股,2017-01-04,-15000,210000,48.7,大连电瓷,本人,DLDC,竞价交易,-730500,高管,002606.SZ
0.06262,林静颖,300231,李晓铭,A股,2017-01-04,-214468,0,18.68,银信科技,配偶,YXKJ,竞价交易,-4006262.24,董秘、董事、高管,300231.SZ
1.13982,洪亮,002722,朱善忠,A股,2017-01-04,-2000000,0,49.2,金轮股份,父母,JLGF,大宗交易,-98400000,董事,002722.SZ
0.1875,唐文奇,603611,唐文奇,A股,2017-01-04,-300000,3986800,34.16,诺力股份,本人,NLGF,其他,-10248000,董事,603611.SH
0.025,郭晓萍,603611,郭晓萍,A股,2017-01-04,-40000,4300000,39.04,诺力股份,本人,NLGF,二级市场买卖,-1561600,董事,603611.SH
0.01026,姚峻,002206,姚峻,A股,2017-01-04,-50000,490000,19.5,海利得,本人,HLD,竞价交易,-975000,董事、高管,002206.SZ
0.00051,马鹏程,002206,马鹏程,A股,2017-01-04,-2500,447500,19.48,海利得,本人,HLD,竞价交易,-48700,高管,002206.SZ
0.08458,蔡荣军,002456,蔡荣军,A股,2017-01-04,918741,1599126,32.64,欧菲科技,本人,OFKJ,竞价交易,29987706.24,董事,002456.SZ
0.00084,赵院生,000612,赵院生,A股,2017-01-04,-10000,735855,12.05,焦作万方,本人,JZWF,竞价交易,-120500,董事、高管,000612.SZ
0.00024,刘勇,002717,刘勇,A股,2017-01-04,-1000,4149484,26.05,岭南股份,本人,LNGF,竞价交易,-26050,高管,002717.SZ
0.08299,丁列明,300558,丁列明,A股,2017-01-04,332784,332784,74.3,贝达药业,本人,BDYY,竞价交易,24725851.2,董事、高管,300558.SZ
0.00445,王士龙,300414,王士龙,A股,2017-01-04,-7500,22500,32.2,中光防雷,本人,ZGFL,竞价交易,-241500,监事,300414.SZ
0.02134,华新忠,603889,华新忠,A股,2017-01-04,-69400,1637458,15.37,新澳股份,本人,XAGF,二级市场买卖,-1066678,董事,603889.SH
