股票代码,股票名称,回购数量,最高回购价,最低回购价,回购平均价,回购总额,日期
00798,中电光谷,42.00万,0.66,0.66,0.660,27.72万,2018-04-24
00200,新濠国际发展,43.90万,28.2,28.2,28.200,1237.98万,2018-04-24
00213,NATIONAL ELEC H,10.00万,1.14,1.14,1.140,11.40万,2018-04-24
01050,嘉利国际,20.60万,1.16,1.15,1.152,23.73万,2018-04-24
01700,华地国际控股,75.00万,2.15,2.15,2.151,161.30万,2018-04-24
00635,彩星集团,54.20万,1.08,1.07,1.080,58.52万,2018-04-24
00455,天大药业,1.00万,0.305,0.305,0.305,0.31万,2018-04-24
00522,ASM PACIFIC,127.57万,110,109.5,109.983,14030.48万,2018-04-24
01020,赛伯乐国际控股,300.00万,0.28,0.275,0.278,83.50万,2018-04-24
02028,映美控股,89.00万,1.11,1.1,1.109,98.71万,2018-04-24
02136,利福中国,124.00万,2.89,2.88,2.887,358.01万,2018-04-24
00212,NANYANG HOLD,0.80万,57,57,57.000,45.60万,2018-04-24
00035,远东发展,35.20万,4.5,4.48,4.490,158.03万,2018-04-24
00605,中国金融投资管理,367.40万,0.64,0.64,0.640,235.14万,2018-04-24
00315,数码通电讯,0.75万,8.27,8.27,8.270,6.20万,2018-04-24
01297,中国擎天软件,100.00万,3.2,3.12,3.179,317.89万,2018-04-24
00681,中民控股,260.00万,0.113,0.11,0.112,29.08万,2018-04-24
02028,映美控股,2.60万,1.08,1.07,1.072,2.79万,2018-04-23
00213,NATIONAL ELEC H,3.00万,1.14,1.14,1.140,3.42万,2018-04-23
01700,华地国际控股,45.00万,2.13,2.12,2.127,95.70万,2018-04-23
00035,远东发展,35.00万,4.52,4.49,4.508,157.80万,2018-04-23
00315,数码通电讯,4.05万,8.18,8.16,8.169,33.09万,2018-04-23
00838,亿和控股,7.40万,1.21,1.21,1.210,8.95万,2018-04-23
00887,英皇钟表珠宝,57.00万,0.495,0.495,0.495,28.22万,2018-04-23
00605,中国金融投资管理,41.00万,0.64,0.64,0.640,26.24万,2018-04-23
00681,中民控股,567.40万,0.111,0.108,0.110,62.67万,2018-04-23
02136,利福中国,1052.80万,2.82,2.78,2.814,2962.08万,2018-04-23
00532,WKK INTL (HOLD),52.60万,1.23,1.23,1.230,64.70万,2018-04-23
00522,ASM PACIFIC,8.70万,110,109.7,109.968,956.72万,2018-04-23
00623,中视金桥,11.10万,2.08,2.07,2.079,23.08万,2018-04-23
01050,嘉利国际,45.80万,1.15,1.12,1.130,51.75万,2018-04-23
00656,复星国际,60.00万,16.78,16.64,16.698,1001.89万,2018-04-20
02028,映美控股,214.00万,1.06,1,1.055,225.73万,2018-04-20
02136,利福中国,604.45万,2.75,2.74,2.749,1661.89万,2018-04-20
00662,亚洲金融,3.00万,4.88,0,4.880,14.64万,2018-04-20
00605,中国金融投资管理,180.00万,0.64,0.64,0.640,115.20万,2018-04-20
00035,远东发展,30.00万,4.52,4.48,4.508,135.23万,2018-04-20
00296,英皇娱乐酒店,81.00万,1.74,1.74,1.740,140.94万,2018-04-20
00213,NATIONAL ELEC H,10.60万,1.14,1.14,1.140,12.08万,2018-04-20
00887,英皇钟表珠宝,268.00万,0.495,0.49,0.494,132.32万,2018-04-20
00315,数码通电讯,6.95万,8.2,8.19,8.195,56.96万,2018-04-20
00838,亿和控股,130.40万,1.21,1.21,1.210,157.78万,2018-04-20
00434,博雅互动,265.80万,3.2,3.13,3.164,840.90万,2018-04-20
01733,易大宗,296.40万,0.68,0.66,0.674,199.76万,2018-04-20
00532,WKK INTL (HOLD),3.20万,1.23,1.23,1.230,3.94万,2018-04-19
00662,亚洲金融,17.00万,4.89,0,4.890,83.13万,2018-04-19
00635,彩星集团,624.60万,1.08,1.05,1.079,674.05万,2018-04-19
00035,远东发展,30.00万,4.52,4.48,4.507,135.20万,2018-04-19
00315,数码通电讯,60.50万,8.22,8.19,8.209,496.65万,2018-04-19
00681,中民控股,1252.60万,0.11,0.107,0.109,136.03万,2018-04-19
